"track_name","track_artist","track_popularity","danceability","energy","speechiness","valence"
"Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix","David Guetta",58,61,100,5,66
"With You - Dexter Remix","Kaskade",51,68,79,13,47
"Safety (feat. DJ Snake) - Dark Heart 2am Mix","GASHI",58,71,80,3,29
"Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix","Bazzi vs.",56,69,86,9,45
"Talk - Disclosure VIP","Khalid",60,78,87,20,56
"Spicy - Majestic Remix","Herve Pagez",48,81,84,8,96
"Don't Leave Me Lonely (feat. Yebba) - Claptone Remix","Mark Ronson",56,78,78,4,46
"Treehouse - R3HAB Remix","James Arthur",56,37,78,15,29
"Hearts Ain't Gonna Lie - Eden Prince Remix","Arlissa",65,61,83,8,60
"Call You Mine","The Chainsmokers",39,59,70,3,50
"Post Malone (feat. RANI)","Sam Feldt",83,59,64,12,65
"Here With Me","Marshmello",83,79,56,4,18
"Easier - Seeb Remix","5 Seconds of Summer",71,56,75,6,72
"Sixteen","Ellie Goulding",81,67,80,14,54
"Never Really Over","Katy Perry",85,77,88,6,38
"All You Need To Know (feat. Calle Lehmann)","Gryffin",76,51,79,4,23
"I Miss Myself (with HRVY)","NOTD",71,72,86,21,66
"South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix","Ed Sheeran",65,79,86,4,49
"Takeaway (feat. Lennon Stella)","The Chainsmokers",67,29,50,4,36
"All the Time","Zara Larsson",74,66,80,6,50
"What I Like About You (feat. Theresa Rex)","Jonas Blue",81,46,80,5,55
"With You","Kaskade",71,36,92,49,53
"Body Back (feat. Maia Wright)","Gryffin",75,69,83,4,49
"Not Ok","Kygo",73,62,66,4,41
"Ruin My Life","Zara Larsson",79,66,70,6,58
"I Wanna Know (feat. Bea Miller)","NOTD",74,66,72,6,60
"Better With You","3LAU",63,57,75,3,25
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","Kygo",79,59,70,8,27
"Polaroid","Jonas Blue",16,65,90,4,47
"Lost In Japan - Remix","Shawn Mendes",75,71,86,22,29
"In Your Arms (with X Ambassadors)","ILLENIUM",75,40,81,5,11
"I'm Not Alright","Loud Luxury",55,88,86,5,68
"SOS","Avicii",30,80,64,7,38
"Harder","Jax Jones",62,91,83,7,75
"The Middle","Zedd",84,75,66,4,44
"Wanted","NOTD",70,69,67,7,38
"Crash Into Me","Steve Aoki",37,67,82,10,34
"Need Your Love (with Noah Kahan)","Gryffin",70,58,76,4,52
"Good Things Fall Apart (with Jon Bellion)","ILLENIUM",74,64,59,3,44
"Don't Call Me Up","Mabel",85,67,88,15,23
"Nostalgic","A R I Z O N A",36,69,54,10,33
"Let It Be Me","Steve Aoki",52,66,76,9,39
"Lovers + Strangers","Starley",58,65,69,8,65
"Sad Song (feat. TINI)","Alesso",72,73,69,4,55
"Sleepless Nights","ayokay",64,66,70,3,45
"Save Me Tonight","ARTY",63,55,90,5,41
"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",77,70,87,3,73
"No Sleep (feat. Bonn)","Martin Garrix",76,44,64,3,33
"Feel Good (feat. Daya)","Gryffin",74,62,71,3,48
"Endless Summer","Cashae",56,62,72,6,33
"Faith (with Dolly Parton) [feat. Mr. Probz]","Galantis",77,55,80,5,72
"Think About You","Kygo",71,67,60,4,19
"Party For One","Carly Rae Jepsen",64,70,63,4,46
"Ritual","Tiësto",82,65,73,6,77
"Electricity (with Dua Lipa)","Silk City",81,59,67,5,50
"Lie","Shallou",41,66,43,8,22
"I Found You (with Calvin Harris)","benny blanco",62,79,86,4,36
"Now That I Found You","Carly Rae Jepsen",5,61,74,5,57
"All Comes Back To You","R3HAB",72,73,76,9,52
"Need U","DVBBS",24,71,70,10,47
"First Love","Lost Kings",58,62,94,35,60
"Something Real","Armin van Buuren",65,57,81,4,23
"TIME","Alesso",64,77,81,11,66
"Something About You (with Rudimental)","Elderbrook",53,77,60,19,66
"Home (feat. Bonn)","Martin Garrix",72,47,61,3,24
"Simple (STVW Remix)","FANNYPACK",39,43,92,6,62
"Sorry","Joel Corry",75,74,79,6,85
"Spicy (with Diplo & Charli XCX)","Herve Pagez",60,84,82,5,48
"The Upside (feat. Elle King)","Lindsey Stirling",18,51,86,7,35
"Stay","Zedd",79,69,62,6,54
"Million Voices","Armin van Buuren",60,47,87,5,18
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",83,84,80,23,62
"Closer (feat. Halsey)","The Chainsmokers",85,75,52,3,66
"Say My Name (feat. Zyra) - RAC Mix","ODESZA",47,65,62,5,48
"Clarity","Zedd",74,51,78,7,18
"Solo (feat. Demi Lovato)","Clean Bandit",80,74,64,4,56
"Scared to Be Lonely","Martin Garrix",81,58,54,6,20
"Friends (with BloodPop®)","Justin Bieber",76,74,73,4,62
"RITMO (Bad Boys For Life)","The Black Eyed Peas",96,72,72,7,67
"Promises (with Sam Smith)","Calvin Harris",84,78,77,4,49
"Turn Me On (feat. Vula)","Riton",86,74,83,4,52
"Light","San Holo",68,57,76,6,43
"2U","David Guetta",66,55,65,6,56
"Something Just Like This","The Chainsmokers",83,62,64,3,45
"One Kiss (with Dua Lipa)","Calvin Harris",85,79,86,11,59
"Heroes (we could be)","Alesso",73,50,75,6,36
"It Ain’t Me (with Selena Gomez)","Kygo",69,64,53,7,52
"Let Me Love You (Until You Learn To Love Yourself)","Ne-Yo",69,66,68,4,25
"Let Me Love You","DJ Snake",81,65,72,3,16
"Roses","The Chainsmokers",73,71,80,6,34
"Stay The Night - Featuring Hayley Williams Of Paramore","Zedd",61,60,74,4,46
"Latch","Disclosure",19,50,73,17,52
"Flames","David Guetta",57,61,73,4,36
"Sorry","Justin Bieber",81,65,76,4,41
"This Is What You Came For","Calvin Harris",79,63,93,3,46
"Wake Me Up","Avicii",84,53,78,5,64
"In My Mind","Dynoro",84,69,77,15,16
"Titanium (feat. Sia)","David Guetta",66,60,79,10,30
"Where Are Ü Now","Skrillex",8,43,74,6,19
"Firework","Katy Perry",64,64,83,5,65
"Mi Gente (feat. Beyoncé)","J Balvin",61,76,72,8,47
"Don't You Worry Child - Radio Edit","Swedish House Mafia",27,61,83,5,43
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",74,67,83,7,70
"Anything Could Happen","Ellie Goulding",57,70,78,3,38
"Poker Face","Lady Gaga",69,85,81,8,78
"How Deep Is Your Love","Calvin Harris",77,74,87,7,34
"In Your Eyes (feat. Alida)","Robin Schulz",74,57,67,7,45
"Wish You Well (with Sigala)","Sigala",5,67,89,6,57
"With You - LöKii Remix","Kaskade",57,71,73,4,51
"Dive","Hot Shade",68,65,79,5,41
"No Goodbye","Paul Kalkbrenner",65,94,58,4,63
"Work","MOTi",58,70,93,4,63
"Instagram","Dimitri Vegas & Like Mike",81,76,91,10,95
"Better Off Without You (feat. Shift K3Y)","Becky Hill",68,68,86,4,30
"Butterfly","Molella",43,63,66,3,60
"All The Love You Got","MOTi",57,76,74,8,25
"Call You Mine - Asketa & Natan Chaim Remix","The Chainsmokers",58,58,84,4,28
"Love Is Not Enough","GATTÜSO",58,63,82,3,13
"Lose Control","MEDUZA",91,60,53,4,53
"I Wanna Dance","Jonas Blue",67,82,84,14,62
"After The Landslide - Club Remix","Matt Simons",42,63,73,4,46
"Midnight Hour with Boys Noize & Ty Dolla $ign","Skrillex",70,80,90,7,33
"Pon de Replay","Ed Marquis",64,53,72,24,48
"So Close","NOTD",79,70,87,7,76
"Look Into My Eyes","Brando",48,79,54,5,43
"Not in Control","Glaceo",53,90,63,10,49
"BLUE","Tiësto",75,74,72,3,90
"Don't Waste My Time","Kharfi",46,77,69,21,59
"Beat Of My Heart","Lost Frequencies",67,71,52,3,30
"Don't Start Now - Kungs Remix","Dua Lipa",65,66,70,27,25
"Drunken Truth","Steve Void",56,78,74,4,50
"Jacques","Jax Jones",42,79,55,7,48
"Something Real","Armin van Buuren",58,57,81,4,23
"Stay (Don't Go Away) [feat. Raye]","David Guetta",74,67,80,6,55
"Solid Gold","PNAU",65,57,95,5,30
"One Life","Mike Perry",64,65,76,6,23
"All ‘Bout The Money","FAULHABER",51,72,78,6,33
"Never Letting Go","Audien",63,53,76,3,12
"Used To Love (with Dean Lewis)","Martin Garrix",83,65,69,4,39
"Giulia","Prince Paris",55,68,92,4,37
"What Do I Do? - Benny Benassi Remix","Georgia Ku",39,66,83,8,61
"Dreams Of You (feat. Rae Morris)","Icarus",48,57,96,3,15
"I Will Let You Down (feat. KLARA)","Madison Mars",59,61,92,7,42
"Carillon (with Achille Lauro)","Nahaze",64,56,56,15,24
"La Vie - Gabry Ponte Mix","DJ Ross",42,59,88,22,48
"Lullaby","R3HAB",70,63,80,4,26
"Say It","Phantoms",57,74,80,4,31
"All This Time","Deorro",21,66,86,32,23
"All You Need To Know (feat. Calle Lehmann)","Gryffin",68,53,73,4,22
"Acordeão","Tiësto",63,55,89,15,78
"My Friend","Yves V",54,47,91,6,20
"On & On","Alok",79,75,78,7,67
"Juliet & Romeo","Martin Solveig",72,71,66,3,78
"All Around The World (La La La)","R3HAB",80,73,86,3,52
"Are You Lonely (feat. ISÁK)","Steve Aoki",47,52,79,4,18
"No More (feat. Brenda Mullen) - Bottai Edit","Alex Gaudino",19,68,67,4,41
"Close Your Eyes","Felix Jaehn",79,82,82,20,52
"Buzzing (with Nevve)","Audien",59,64,59,3,30
"Never Be Alone (feat. Aloe Blacc)","David Guetta",68,54,91,4,73
"Roses - Imanbek Remix","SAINt JHN",72,78,72,5,90
"Insane","Ofenbach",66,81,76,10,71
"Daydreams - Sultan + Shepard Echoes Of Life Remix","ARTY",59,67,79,4,16
"Only Want You - Sam Feldt Remix","Rita Ora",64,58,79,13,35
"Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix","Ellie Goulding",9,73,84,3,47
"Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix","Drax Project",41,63,73,10,50
"South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix","Ed Sheeran",69,84,77,7,78
"Not Ok - Frank Walker Remix","Kygo",66,68,87,6,44
"Heaven (feat. Veronica)","Dzeko",68,66,88,5,18
"Sixteen - Don Diablo Remix","Ellie Goulding",66,49,77,16,30
"Don’t Give Up On Me Now (with Julie Bergan)","R3HAB",63,69,71,5,27
"Brave","Don Diablo",68,65,87,5,54
"Let It Be Me","Steve Aoki",23,66,76,9,39
"Carry On - Nicky Romero Remix","Kygo",67,45,68,9,44
"Magnets (feat. Sophie Simmons)","Sam Feldt",62,73,80,6,43
"Don't Give Up On Me","Andy Grammer",9,49,77,9,12
"Found Love (feat. Lovespeake)","MOTi",59,60,89,13,64
"These Are The Times (feat. JRM)","Martin Garrix",71,69,71,3,61
"Wherever You Go","Jonas Blue",21,71,72,11,48
"Happy Now","Kygo",81,69,57,8,49
"Roots","Valerie Broussard",69,68,78,4,58
"Talk - Alle Farben Remix","Khalid",56,64,82,5,49
"All The Lies - Toby Romeo Remix / Radio Edit","Alok",56,71,81,18,63
"High Hopes - Don Diablo Remix","Panic! At The Disco",60,59,89,8,29
"Summer Air (feat. Trevor Guthrie)","Hardwell",40,63,57,5,56
"Can We Pretend (feat. Cash Cash) - Sigala Remix","P!nk",57,70,88,18,54
"Bruises - Steve Void Remix","Lewis Capaldi",70,79,75,5,54
"Insomnia - King Arthur Remix","Daya",63,73,72,4,21
"Don't Worry Bout Me - Rudimental Remix","Zara Larsson",65,73,85,18,61
"I Miss Myself - R3HAB Remix","NOTD",56,50,78,24,61
"8 Letters - R3HAB Remix","Why Don't We",2,64,71,4,58
"You Deserve Better - Andrelli Remix","James Arthur",53,68,71,9,48
"Remember (with ZOHARA)","Gryffin",11,62,91,6,40
"REMEDY","Alesso",77,60,78,5,48
"Leave","Borgeous",56,76,66,5,96
"Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix","Clean Bandit",65,68,95,8,44
"I'm Not Sorry","Hardwell",34,65,82,6,35
"Tequila - Robin Schulz Remix","Dan + Shay",54,45,84,8,48
"Happier - Frank Walker Remix","Marshmello",51,71,65,18,61
"Sing It With Me - Embody Remix","JP Cooper",50,67,85,12,50
"Thursday - Nicky Romero Remix","Jess Glynne",52,74,62,4,62
"Better When You're Gone","David Guetta",76,65,80,4,41
"Wish You Well","Sigala",75,67,90,6,58
"Only When It Rains","Frank Walker",52,79,72,4,43
"Mad Love - Blinkie Remix","Mabel",62,71,93,5,46
"Sweet but Psycho - Morgan Page Dance Remix","Ava Max",65,64,80,3,42
"Better Day (feat. Aloe Blacc)","Young Bombs",62,66,82,10,44
"Rescue Me (with BUNT.) - BUNT. Remix","OneRepublic",10,67,88,6,70
"Discovery","Syn Cole",55,52,86,5,45
"With You - Frank Walker Remix","Tyler Shaw",49,69,61,7,45
"2 Hearts (feat. Gia Koka)","Sam Feldt",70,50,75,4,60
"Love You Forever","Nicky Romero",61,38,70,4,15
"Post Malone (feat. RANI)","Sam Feldt",75,59,64,12,65
"Thorns","Faustix",60,71,82,6,66
"Shotgun (The Wild Remix)","George Ezra",63,59,76,7,84
"True Colors (feat. Maya Avedis)","XO Cupid",73,64,63,3,45
"Crying In The Sun","Faustix",60,68,79,5,66
"Need You","Faustix",62,64,70,5,60
"Sweet Dreams (Are Made of This)","Winati",67,82,65,22,18
"Million Lights","Tungevaag & Raaban",61,70,91,7,47
"Dancing in the Moonlight","Jubël",71,66,62,6,19
"Heaven","Avicii",80,59,87,3,52
"Forever Young","John De Sohn",68,65,62,3,59
"eoh","Olympis",60,71,58,7,28
"Nobody","Martin Jensen",66,67,69,6,52
"All Day And Night","Jax Jones",75,57,76,11,54
"There's No Way (feat. Julia Michaels) - Alle Farben Remix","Lauv",58,77,83,4,44
"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",74,73,76,6,52
"All For Love","Tungevaag & Raaban",68,69,90,7,65
"Bittersweet Symphony (feat. Emily Roberts)","GAMPER & DADONI",72,68,58,13,45
"One Touch","Jess Glynne",70,69,69,13,70
"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix","Lauv",58,76,67,4,76
"Be Your Friend<U+202C><U+202C>","Vigiland",67,60,75,5,64
"Happier - Breathe Carolina Remix","Marshmello",62,69,92,6,34
"Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix","Drax Project",56,63,73,10,50
"Just Got Paid","Sigala",65,73,92,9,65
"No One - Jonas Blue Remix","Jess Glynne",51,60,85,5,16
"Speechless (feat. Erika Sirola) - MOTi Remix","Robin Schulz",54,61,52,8,34
"Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix","Ellie Goulding",61,73,84,3,47
"Darkside","Alan Walker",76,43,61,4,12
"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",83,66,72,6,32
"Body (feat. brando)","Loud Luxury",63,75,76,4,58
"Who's Got Your Love","Cheat Codes",70,70,89,5,53
"Never Go Back - Robin Schulz Remix","Dennis Lloyd",70,66,71,5,61
"Pumped Up","Klingande",56,73,73,11,64
"California","Hot Shade",65,62,74,4,67
"Solo Dance","Martin Jensen",61,75,85,5,40
"Replay","Davai",60,78,81,7,58
"Think About You - Galantis Remix","Kygo",63,62,90,4,33
"Love No More","Loud Luxury",54,77,67,5,22
"All Falls Down (feat. Juliander)","Alan Walker",70,66,67,6,68
"Lonely Together (feat. Rita Ora)","Avicii",6,64,66,6,27
"Remind Me to Forget","Kygo",70,69,50,9,31
"Next To Me","Axel Johansson",54,44,60,6,26
"Giant (with Rag'n'Bone Man)","Calvin Harris",83,81,89,4,61
"Happier - Tiësto’s AFTR:HRS Remix","Ed Sheeran",53,68,82,3,38
"Hum With Me","John De Sohn",55,65,71,3,35
"Without You (feat. Sandro Cavazza)","Avicii",81,66,86,4,30
"Call On Me - Ryan Riback Remix","Starley",58,69,82,4,76
"Sad (feat. Afrojack)","Chico Rose",75,72,72,4,21
"Stargazing","Kygo",73,68,50,8,42
"Symphony (feat. Zara Larsson)","Clean Bandit",73,72,60,4,45
"Stay Young","Mike Perry",57,57,71,4,56
"More Than You Know","Axwell /\ Ingrosso",25,64,74,3,53
"Why Boy","Steff da Campo",55,50,92,4,28
"The Nights","Avicii",80,53,84,4,65
"Rich Love (with Seeb)","OneRepublic",69,40,87,31,47
"Mama","Jonas Blue",74,74,79,4,57
"Feel Good","Felix Jaehn",65,70,90,4,66
"IDGAF - Hazers Remix","Dua Lipa",50,81,70,9,60
"Breathe (feat. Ina Wroldsen)","Jax Jones",66,72,73,4,67
"Rockstar","Ilkay Sencan",71,77,83,6,18
"Jackie Chan","Tiësto",79,75,83,4,69
"Moonlight","Gaullin",76,81,76,8,29
"All I Wanna Do","Martin Jensen",55,73,79,6,52
"Sweet but Psycho","Ava Max",87,72,70,5,63
"Melody - ANGEMI Remix","Lost Frequencies",35,56,83,10,40
"High On Life (feat. Bonn)","Martin Garrix",77,41,49,3,37
"So Am I","Ava Max",83,68,66,4,61
"I Know You - Vigiland Remix","Craig David",51,67,47,7,22
"Through To You","Lyente",2,69,69,17,31
"Burn Out (feat. Dewain Whitmore)","Martin Garrix",68,59,72,4,41
"Penny","Dimitri Vangelis & Wyman",50,47,97,5,28
"Wait For Me","Steve Brian",42,46,74,6,7
"bad guy","Billie Eilish",95,70,42,38,56
"Daylight (Airbeat One Anthem 2018)","Fluex",50,63,94,4,35
"Imagine","Rob Tirea",21,58,78,4,61
"Apple Juice (feat. Carla Monroe) - MOTi Remix","SLATIN",63,67,91,10,41
"Glitch","Martin Garrix",56,72,79,3,36
"Brand New (Helium)","Lvly",2,71,81,8,32
"Shades Of Voices (Original Mix)","PULLER",2,69,87,9,9
"In Time","CAZZETTE",49,65,71,4,42
"Halfway There (feat. Lena Leon)","Tiësto",60,59,89,8,7
"Spirit Of Freedom","Dropgun",45,44,91,6,22
"Mama Look at Me Now","Galantis",56,59,68,4,40
"Toxic Rain - No Class Remix","Alicia Madison",41,46,77,5,27
"The Beat","Mike Williams",70,56,95,3,79
"Wild Wild Son","Armin van Buuren",57,45,57,3,17
"Waiting For Love","Avicii",16,58,74,5,58
"Shelter (Mix Cut) - Yoel Lewis Remix","Dash Berlin",48,49,86,5,15
"Like I Do","David Guetta",72,64,90,4,15
"Skyline","Catiso",2,73,79,4,48
"Callin' - Extended Mix","Lush & Simon",2,63,96,7,39
"Roads","Vargas & Lagola",66,53,81,3,53
"Jackie Chan","Tiësto",60,74,84,5,69
"Came Here for Love","Sigala",68,71,87,4,72
"Kids in Love - Don Diablo Remix","Kygo",50,65,91,6,34
"Let You Down - Chris Royal Remix","Bombs Away",39,36,94,11,14
"Mercury","Catiso",1,73,83,5,23
"Different Place","STVCKS",4,67,94,5,4
"One Last Time","Ariana Grande",16,63,59,3,10
"I Feel The Love","Tritonal",58,56,81,3,44
"No Brainer","DJ Khaled",77,55,76,34,64
"Sun Is Shining","Axwell /\ Ingrosso",71,47,76,5,38
"Breathe","Jax Jones",65,72,74,4,69
"In the Name of Love","Martin Garrix",80,50,52,4,17
"Pure Gold","oomiee",1,64,86,27,64
"Turning Up","ARASHI",67,77,82,10,90
"Winter Hitori feat. ASOBOiSM","Shinn Yamada",28,79,72,4,52
"9<U+3068>4<U+5206><U+306E>3<U+756A><U+7DDA><U+3067><U+541B><U+3092><U+5F85><U+3064> (Run Away) - Japanese Ver.","TOMORROW X TOGETHER",48,63,79,10,47
"Nobody Knows","Hiroomi Tosaka",39,62,88,4,77
"One in a Million -<U+5947><U+8DE1><U+306E><U+591C><U+306B>-","GENERATIONS from EXILE TRIBE",60,75,80,7,84
"<U+5225><U+4E16><U+754C>","E-girls",29,70,88,16,79
"Gimme GImme","iamSHUM",21,70,86,6,54
"<U+5FA1><U+4F3D><U+306E><U+8857>","DAOKO",40,80,86,9,47
"<U+30DC><U+30A4><U+30B9><U+30E1><U+30E2> No. 5","CHANMINA",37,74,67,4,22
"Now & Forever (feat. SONPUB & <U+5411><U+4E95><U+592A><U+4E00>)","<U+9999><U+53D6><U+614E><U+543E>",38,83,57,5,56
"Make A Move - Pt. 2","EMMA WAHLIN",17,84,52,14,46
"<U+5149><U+7DDA>","Ghost like girlfriend",30,64,74,3,49
"ZONE OF GOLD","Ryuji Imaichi",31,49,71,12,50
"LOVE + PARTY","CREAM",37,79,77,6,79
"WAKE ME UP","THE RAMPAGE from EXILE TRIBE",35,61,96,12,37
"New Page","INTERSECTION",49,60,73,3,40
"Easy Breezy","chelmico",42,66,99,9,62
"TOTSUKA feat. <U+30B5><U+30A4><U+30D7><U+30EC><U+30B9><U+4E0A><U+91CE>","ASOBOiSM",23,84,59,16,64
"taste","FlowBack",34,70,67,6,70
"I don’t wanna do","SARM",27,57,86,14,84
"A-RA-SHI:Reborn","ARASHI",60,72,80,6,27
"Light","SIRUP",53,78,67,8,50
"Night Ship","Yo-Sea",30,85,51,5,76
"Fly me 2","eill",41,74,72,4,32
"Not Enough","Rei Yasuda",29,55,85,5,15
"COLORLESS","Daichi Miura",54,42,56,31,35
"New Shoes - feat.Shun Murakami","phai",21,72,46,3,34
"MarudeSaturday Night","BABY-T",21,70,77,3,75
"FUTARI x PARTY","CREAM",40,87,75,7,59
"SUPERSTAR","<U+771F><U+4E4B><U+4ECB>",26,55,78,4,63
"Be on the Stage","KEITA",26,68,85,8,59
"space shuttle","<U+7A7A><U+97F3>",36,71,93,6,87
"Amazing!","Sakurako Ohara",32,65,86,18,89
"TO-KE-TE","HAN-KUN",34,39,89,6,45
"JAM fo'freedom (SASUKE Remix)","RUN THE FLOOR",21,76,76,6,95
"You're the Reason - English ver.","INTERSECTION",36,62,73,3,10
"Made In JPN","DEAN FUJIOKA",36,62,61,5,73
"See You Later","Chocoholic",42,73,65,5,54
"Possible","<U+7247><U+5BC4><U+6DBC><U+592A>",49,71,71,7,71
"All Over You","Boys Get Hurt",12,70,55,4,35
"Where Would You Go?","SkyLogic",16,62,78,3,43
"Call My Name - Remix","YUTO",27,83,82,7,87
"DAYZ","AAAMYYY",44,74,55,5,60
"Simple Things","HarukiD",21,70,65,3,23
"SUN DAY - Shinichi Osawa Remix","HIRAIDAI",41,74,56,4,21
"SPOTLIGHT","eill",44,64,74,9,63
"let me know","blanchehor",39,70,58,3,75
"Y.E.S","KEITA",21,60,80,15,48
"Rich&Famous - feat. Sean Paul","Kumi Koda",35,54,74,20,39
"<U+30DF><U+30BA><U+30CE><U+30CA><U+30AB><U+30D8> - Car TAX remix","yu-re:meu",16,74,85,8,88
"EASY LOVE","Gear 2nd",27,80,78,11,69
"PARADE","Miliyah",37,68,64,4,23
"Obsession","<U+5E83><U+702C><U+5927><U+5730>",30,83,85,10,93
"Shine","DJ PIGER",35,78,72,5,84
"Upside Down","RYPPHYPE",26,70,93,6,83
"B.S.G.S.","sooogood!",30,62,90,14,60
"Bitten By You","Monkey Majik",40,68,75,3,97
"For Me","WAPLAN",31,71,73,3,40
"Sway","AATA",27,79,67,16,78
